id,nome,contrib_open_source,programa_hobby,salario,sistema_operacional_id,pais_id,empresa_id
3426,respondent_3426,No,Yes,10092.69,2,123,4
27084,respondent_27084,No,No,0.0,2,110,4
24925,respondent_24925,No,No,28575.0,4,130,6
55085,respondent_55085,Yes,Yes,41967.15,4,69,0
64956,respondent_64956,No,Yes,19050.0,4,130,8
40435,respondent_40435,Yes,Yes,2983.23,4,50,5
39898,respondent_39898,No,Yes,635000.0,4,130,3
54063,respondent_54063,Yes,Yes,29144.6,4,21,7
71343,respondent_71343,No,Yes,7669.53,4,21,4
69731,respondent_69731,No,Yes,0.0,4,44,4
7224,respondent_7224,Yes,Yes,0.0,4,93,8
52012,respondent_52012,No,Yes,7771.77,4,111,3
63414,respondent_63414,Yes,Yes,0.0,2,127,8
80464,respondent_80464,No,Yes,0.0,4,65,4
51836,respondent_51836,No,Yes,15435.58,4,128,7
2763,respondent_2763,No,Yes,0.0,4,93,2
87916,respondent_87916,Yes,Yes,28341.96,4,86,8
67497,respondent_67497,No,Yes,2015.49,1,94,4
2607,respondent_2607,No,Yes,12434.57,2,111,4
14017,respondent_14017,Yes,No,5440.05,3,128,1
23274,respondent_23274,Yes,No,0.0,4,14,8
89202,respondent_89202,Yes,Yes,358140.0,4,130,0
50974,respondent_50974,Yes,Yes,22537.74,4,82,4
58816,respondent_58816,No,No,0.0,4,130,6
69538,respondent_69538,Yes,Yes,0.0,1,50,7
14899,respondent_14899,No,No,32670.75,4,109,6
36296,respondent_36296,No,No,40322.5,4,130,2
94512,respondent_94512,No,Yes,15388.59,4,40,2
81372,respondent_81372,Yes,Yes,232859.58,3,128,8
82126,respondent_82126,No,Yes,0.0,3,109,8
99315,respondent_99315,No,Yes,16805.91,4,94,0
101418,respondent_101418,Yes,Yes,9525.0,1,126,3
76622,respondent_76622,Yes,Yes,2331.72,1,95,8
95261,respondent_95261,No,Yes,0.0,3,36,8
57072,respondent_57072,No,Yes,98172.27,2,21,7
689,respondent_689,Yes,Yes,7162.8,2,74,7
13862,respondent_13862,No,Yes,0.0,3,128,3
53359,respondent_53359,Yes,Yes,63500.0,2,130,8
70880,respondent_70880,Yes,Yes,26987.5,4,130,0
86943,respondent_86943,Yes,Yes,1714.5,1,50,7
88900,respondent_88900,Yes,No,23495.0,1,130,7
62951,respondent_62951,Yes,Yes,10988.04,2,109,1
72492,respondent_72492,No,Yes,0.0,3,21,8
45441,respondent_45441,No,Yes,26987.5,2,130,0
4248,respondent_4248,Yes,Yes,25138.06,2,128,6
11880,respondent_11880,No,Yes,0.0,4,23,3
6722,respondent_6722,No,Yes,0.0,3,128,1
77279,respondent_77279,No,Yes,0.0,3,82,8
82421,respondent_82421,No,Yes,31750.0,1,130,4
38268,respondent_38268,No,Yes,0.0,4,107,8
47148,respondent_47148,Yes,Yes,9443.4,2,50,2
19377,respondent_19377,Yes,Yes,31086.43,1,42,6
13694,respondent_13694,No,Yes,0.0,4,123,8
41306,respondent_41306,No,Yes,0.0,2,50,7
14857,respondent_14857,No,Yes,27622.5,4,130,3
67976,respondent_67976,No,Yes,20637.5,1,130,4
34321,respondent_34321,Yes,Yes,25717.5,1,130,0
8317,respondent_8317,Yes,Yes,6995.16,1,42,2
13106,respondent_13106,No,No,0.0,3,128,8
13420,respondent_13420,No,Yes,16827.5,4,130,0
74571,respondent_74571,Yes,Yes,15125.7,1,48,4
16681,respondent_16681,No,No,605.79,4,123,7
30896,respondent_30896,No,No,28575.0,2,130,7
36302,respondent_36302,No,No,0.0,3,42,8
88471,respondent_88471,Yes,Yes,12240.26,2,111,4
63139,respondent_63139,Yes,Yes,0.0,3,130,3
28330,respondent_28330,Yes,Yes,2485.07,1,50,8
11126,respondent_11126,Yes,Yes,3479.17,4,50,4
67478,respondent_67478,No,Yes,21590.0,2,130,0
83644,respondent_83644,No,Yes,38100.0,4,130,6
92801,respondent_92801,No,No,11657.33,2,54,7
24809,respondent_24809,Yes,No,0.0,2,24,1
61833,respondent_61833,No,Yes,1009.65,2,100,7
86674,respondent_86674,No,Yes,2023.11,1,100,3
91602,respondent_91602,Yes,Yes,47625.0,1,130,3
67331,respondent_67331,Yes,Yes,0.0,3,42,8
51977,respondent_51977,No,Yes,26461.09,4,128,0
86969,respondent_86969,Yes,Yes,895.35,4,94,8
57301,respondent_57301,Yes,Yes,2385.06,4,50,3
48133,respondent_48133,Yes,Yes,0.0,2,128,8
99568,respondent_99568,Yes,Yes,0.0,3,52,8
68957,respondent_68957,No,Yes,0.0,2,81,1
78083,respondent_78083,No,Yes,33337.5,4,130,4
60977,respondent_60977,Yes,Yes,55127.53,2,128,8
31577,respondent_31577,Yes,Yes,15853.41,2,13,3
